,states
0,arizona
1,arkansas
2,colorado
3,connecticut
4,delaware
5,florida
6,georgia
7,idaho
8,illinois
9,indiana
10,iowa
11,kansas
12,kentucky
13,louisiana
14,maine
15,maryland
16,massachusetts
17,michigan
18,minnesota
19,mississippi
20,missouri
21,montana
22,nebraska
23,new hampshire
24,north carolina
25,north dakota
26,ohio
27,oklahoma
28,oregon
29,pennsylvania
30,rhode island
31,south carolina
32,south dakota
33,tennessee
34,utah
35,vermont
36,west virginia
37,wisconsin
38,wyoming
